piratac,p i r a t a ʔ,
dumbeng,d u ŋ b e ŋ,
kifa,k i f a,
wau,w au,
kpesec,kp e s e ʔ,
dzurac,dʑ u r a ʔ,
yegbong,j e ɡb o ŋ,
nena,n e n a,
yei,j ei,
hende,ʔ e ŋ d e,
feude,f eu d e,
taide,t ai d e,
ohoude,o ʔ ou d e,
foi,f oi,
gerec,ɡ e r e ʔ,
marina,m a r i n a,
singguba,s i ŋ ɡ u b a,
henni,ʔ e ŋ n i,
