inei,i n e i,
kekea,k e k e a,
ova,o f a,
uma,u m a,
kipo,k i p o,
ufala,u f a l a,
laa'i,l a ː ʔ i,
mame'a,m a m e ʔ a,
pitoga,p i t o ŋ a,
fugugu,f u ŋ u ŋ u,
isa,i s a,
eegai,e ː ŋ a i,
iifaga,i ː f a ŋ a,
ooma,o ː m a,
uu'u,u ː ʔ u,
ega,e ŋ a,
ke,k e,
koa,k o a,
au'i,a u ʔ i,
oi,o i,
aisama,a i s a m a,
mo,m o,
kai,k a i,
papiau,p a p i a u,
aga'o,a ŋ a ʔ o,
eoma,e o m a,
lau,l a u,
puo,p u o,
fou,f o u,
ma'oai,m a ʔ o a i,
