adresát,a d r e s a ː t,
aférka,a f e ː r k a,
bakalářka,b a k a l a ː r̝ k a,
barončin,b a r o n tʃ i n,
Bedříšek,b e d r̝ i ː ʃ e k,
blizoučký,b l i z ou tʃ k i ː,
Cejloňan,ts e j l o ɲ a n,
ňadro,ɲ a d r o,
chůdy,x u ː d i,
dagestánský,d a ɡ e s t a ː n s k i ː,
dálava,d a ː l a v a,
dalekosáhlý,d a l e k o s a ː ɦ l i ː,
dechberoucí,d e x b e r ou ts i ː,
chalífát,x a l i ː f a ː t,
chetitolog,x e c i t o l o ɡ,
chlubit,x l u b i t,
náboj,n a ː b o j,
nábřeží,n a ː b r̝ e ʒ i ː,
nepřímo,n e p r̝ i ː m o,
nespecifický,n e s p e ts i f i ts k i ː,
rám,r a ː m,
ražniči,r a ʒ ɲ i tʃ i,
reagovat,r e a ɡ o v a t,
Tajmyr,t a j m i r,
tajně,t a j ɲ e,
tatík,t a c i ː k,
