code	name	family	nrules	rules	verify	crubadan	compromised	compromised_other	rules_2	verify_2	crubadan_2	opensubtitles	ldc
bug	Bugis	Austronesian,Malayo-Polynesian,Western Malayo-Polynesian,Sulawesi,South Sulawesi,Bugis	1	Data/bug_Bugis/bug.rules	Data/bug_Bugis/bug.verify.csv	External/Crubadan2018/bug.txt.bz2
bvr	Burarra	Australian,Gunwingguan,Burarran	1	Data/bvr_Burarra/bvr.rules	Data/bvr_Burarra/bvr.verify.csv	External/Crubadan2018/bvr.txt.bz2
bxr	Russia Buriat	Mongolian,Eastern,Oirat-Khalkha,Khalkha-Buriat,Buriat	1	Data/bxr_RussiaBuryat/bxr.rules	Data/bxr_RussiaBuryat/bxr.verify.csv	External/Crubadan2018/bxr.txt.bz2
caa	Ch'orti'	Mayan,Cholan-Tzeltalan,Cholan,Chorti	1	Data/caa_Ch'orti'/caa.rules	Data/caa_Ch'orti'/caa.verify.csv	External/Crubadan2018/caa.txt.bz2
car	Carib	Carib,Northern,Galibi	1	Data/car_Carib/car.rules	Data/car_Carib/car.verify.csv	External/Crubadan2018/car.txt.bz2
cbi	Cha'palaa	Barbacoan,Cayapa-Colorado	1	Data/cbi_Cha'palaa/cbi.rules	Data/cbi_Cha'palaa/cbi.verify.csv	External/Crubadan2018/cbi.txt.bz2
cbk	Chavacano	Creole,Spanish based	1	Data/cbk_Chavacano/cbk.rules	Data/cbk_Chavacano/cbk.verify.csv	External/Crubadan2018/cbk.txt.bz2
cbt	Chayahuita	Cahuapanan	1	Data/cbt_Chayahuita/cbt.rules	Data/cbt_Chayahuita/cbt.verify.csv	External/Crubadan2018/cbt.txt.bz2
cbu	Candoshi-Shapra	Language isolate	1	Data/cbu_CandoshiShapra/cbu.rules	Data/cbu_CandoshiShapra/cbu.verify.csv	External/Crubadan2018/cbu.txt.bz2
cnm	Ixtatán Chuj	Mayan,Kanjobalan-Chujean,Chujean	1	Data/cnm_IxtatanChuj/cnm.rules	Data/cnm_IxtatanChuj/cnm.verify.csv	External/Crubadan2018/cnm.txt.bz2
crh	Crimean Tatar	Turkic,Kipchak,West Kipchak	1	Data/crh_CrimeanTatar/crh.rules	Data/crh_CrimeanTatar/crh.verify.csv	External/Crubadan2018/crh.txt.bz2
cs	Czech	Indo-European,Slavic,West,Czech-Slovak	1	Data/cs_Czech/cs.rules	Data/cs_Czech/cs.verify.csv	External/Crubadan2018/cs.txt.bz2
ctu	Chol	Mayan,Cholan-Tzeltalan,Cholan,Chol-Chontal	1	Data/ctu_Chol/ctu.rules	Data/ctu_Chol/ctu.verify.csv	External/Crubadan2018/ctu.txt.bz2
cv	Chuvash	Turkic,Bolgar	1	Data/cv_Chuvash/cv.rules	Data/cv_Chuvash/cv.verify.csv	External/Crubadan2018/cv.txt.bz2
ded	Dedua	Trans-New Guinea,Main Section,Central and Western,Huon-Finisterre,Huon,Eastern	1	Data/ded_Dedua/ded.rules	Data/ded_Dedua/ded.verify.csv	External/Crubadan2018/ded.txt.bz2
dgz	Daga	Trans-New Guinea,Main Section,Eastern,Central and Southeastern,Dagan	1	Data/dgz_Daga/dgz.rules	Data/dgz_Daga/dgz.verify.csv	External/Crubadan2018/dgz.txt.bz2
djr	Djambarrpuyngu	Australian,Pama-Nyungan,Yuulngu,Dhuwal	1	Data/djr_Djambarrpuyngu/djr.rules	Data/djr_Djambarrpuyngu/djr.verify.csv	External/Crubadan2018/djr.txt.bz2
dv	Maldivian	Indo-European,Indo-Iranian,Indo-Aryan,Sinhalese-Maldivian	1	Data/dv_Maldivian/dv.rules	Data/dv_Maldivian/dv.verify.csv	External/Crubadan2018/dv.txt.bz2
el	Greek	Indo-European,Hellenic,Greek	1	Data/el_Greek/el.rules	Data/el_Greek/el.verify.csv	External/Crubadan2018/el.txt.bz2						External/OpenSubtitles2018/wordlists_uppercase_removed/el.word.count.tsv.bz2
emi	Mussau-Emira	Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Western Oceanic,St. Matthias	1	Data/emi_MussauEmira/emi.rules	Data/emi_MussauEmira/emi.verify.csv	External/Crubadan2018/emi.txt.bz2
eu	Basque	Language Isolate	1	Data/eu_Basque/eu.rules	Data/eu_Basque/eu.verify.csv	External/Crubadan2018/eu.txt.bz2
gaw	Nobonob	Trans-New Guinea,Madang-Adelbert Range,Madang,Mabuso,Hanseman	1	Data/gaw_Nobonob/gaw.rules	Data/gaw_Nobonob/gaw.verify.csv	External/Crubadan2018/gaw.txt.bz2
ghs	Guhu-Samane	Trans-New Guinea,Main Section,Eastern,Binanderean,Guhu-Samane	1	Data/ghs_GuhuSamane/ghs.rules	Data/ghs_GuhuSamane/ghs.verify.csv	External/Crubadan2018/ghs.txt.bz2
gil	Kiribati	Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Central-Eastern Oceanic,Remote Oceanic,Micronesia,Micronesian Proper,Ikiribati	1	Data/gil_Kiribati/gil.rules	Data/gil_Kiribati/gil.verify.csv	External/Crubadan2018/gil.txt.bz2
gn	Guarani	Tupi,Tupi-Guarani,Guarani (I)	1	Data/gn_Guarani/gn.rules	Data/gn_Guarani/gn.verify.csv	External/Crubadan2018/gn.txt.bz2							External/LDC/wordlists/gn.word.filtered.count.tsv.bz2
guc	Wayuu	Arawakan,Maipuran,Northern Maipuran,Caribbean	1	Data/guc_Wayuu/guc.rules	Data/guc_Wayuu/guc.verify.csv	External/Crubadan2018/guc.txt.bz2
guo	Guayabero	Guahiban	1	Data/guo_Guayabero/guo.rules	Data/guo_Guayabero/guo.verify.csv	External/Crubadan2018/guo.txt.bz2
gvn	Kuku-Yalanji	Australian,Pama-Nyungan,Yalandyic	1	Data/gvn_KukuYalanji/gvn.rules	Data/gvn_KukuYalanji/gvn.verify.csv	External/Crubadan2018/gvn.txt.bz2
haw	Hawaiian	Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Central-Eastern Oceanic,Remote Oceanic,Central Pacific,East Fijian-Polynesian,Polynesian,Nuclear,East,Central,Marquesic	1	Data/haw_Hawaiian/haw.rules	Data/haw_Hawaiian/haw.verify.csv	External/Crubadan2018/haw.txt.bz2
hil	Hiligaynon	Austronesian,Malayo-Polynesian,Western Malayo-Polynesian,Meso Philippine,Bisayan,Central,Peripheral	1	Data/hil_Hiligaynon/hil.rules	Data/hil_Hiligaynon/hil.verify.csv	External/Crubadan2018/hil.txt.bz2
hmn	Hmong	Hmong-Mien,Hmongic,Chuanqiandian	1	Data/hmn_Hmong/hmn.rules	Data/hmn_Hmong/hmn.verify.csv	External/Crubadan2018/hmn.txt.bz2
hsb	Upper Sorbian	Indo-European,Slavic,West,Sorbian	1	Data/hsb_UpperSorbian/hsb.rules	Data/hsb_UpperSorbian/hsb.verify.csv	External/Crubadan2018/hsb.txt.bz2
ht	Haitian Creole	Creole,French based	1	Data/ht_HaitianCreole/ht.rules	Data/ht_HaitianCreole/ht.verify.csv	External/Crubadan2018/ht.txt.bz2							External/LDC/wordlists/ht.word.filtered.count.tsv.bz2
hu	Hungarian	Uralic,Finno-Ugric,Ugric,Hungarian	1	Data/hu_Hungarian/hu.rules	Data/hu_Hungarian/hu.verify.csv	External/Crubadan2018/hu.txt.bz2						External/OpenSubtitles2018/wordlists_uppercase_removed/hu.word.count.tsv.bz2
hy	Armenian	Indo-European,Armenian	1	Data/hy_Armenian/hy.rules	Data/hy_Armenian/hy.verify.csv	External/Crubadan2018/hy.txt.bz2
ign	Ignaciano	Arawakan,Maipuran,Southern Maipuran,Bolivia-Parana,Moxo	1	Data/ign_Ignaciano/ign.rules	Data/ign_Ignaciano/ign.verify.csv	External/Crubadan2018/ign.txt.bz2
ilo	Ilocano	Austronesian,Malayo-Polynesian,Western Malayo-Polynesian,Northern Philippine,Northern Luzon,Ilocano	1	Data/ilo_Ilocano/ilo.rules	Data/ilo_Ilocano/ilo.verify.csv	External/Crubadan2018/ilo.txt.bz2
inb	Inga	Quechuan,Quechua II,B	1	Data/inb_Inga/inb.rules	Data/inb_Inga/inb.verify.csv	External/Crubadan2018/inb.txt.bz2
iu	Inuktitut	Eskimo-Aleut,Eskimo,Inuit	2	Data/iu_Inuktitut/iu-Latn.rules	Data/iu_Inuktitut/iu-Latn.verify.csv	External/Crubadan2018/iu-Latn.txt.bz2			Data/iu_Inuktitut/iu-Syll.rules	Data/iu_Inuktitut/iu-Syll.verify.csv	External/Crubadan2018/iu.txt.bz2
