pomama,p o m a m a,
ããtsopa,ã ː ts o p a,
mapowatsa,m a p o ɰ a ts a,
xamuna,ʃ a m ɨ n a,
kaneepa,k a n e ː p a,
kaxiama,k a ʃ i a m a,
kanhĩĩ,k a ɲ ĩ ː,
popũka-ru,p o p ɨ̃ k a ɾ ɨ,
mainharu,m ai ɲ a ɾ ɨ,
yakonero,j a k o n e ɾ o,
potxowaro,p o tʃ o ɰ a ɾ o,
