agena,a ɡ e n a,"a"
babalecna,b a b a l e ʔ n a,"b"
cajaca,ʔ a j a ʔ a,"c"
maaden,m a a d e n,"d"
ceteh,ʔ e t e h,"e"
filfil,f i l f i l,"f"
gug,ɡ u ɡ,"g"
hewi,h e w i,"h"
nijia,n i j i a,"i"
jic,j i ʔ,"j"
kobol,k o b o l,"k"
qila,ɡb i l a,"l"
malogom,m a l o ɡ o m,"m"
anutna,a n u t n a,"n"
odocob,o d o ʔ o b,"o"
qasali,ɡb a s a l i,"q"
fero,f e r o,"r"
saen,s a e n,"s"
ceteteh,ʔ e t e t e h,"t"
cunug,ʔ u n u ɡ,"u"
wawaga,w a w a ɡ a,"w"
